НОВАЯ ПРОГРАММА,Урок на ютуб,Доп материалы к урокам,Домашнее задание
Модуль 1. Формула запуска на мільйон ,,,
Урок 1. Три інструменти для ефективного начання,https://youtu.be/oAivbD-4zpw?si=399MYZ63u_PNtOjA,,
Урок 2. Що таке продюсування. Основа запусків,https://youtu.be/ZfAZMdV3oig?si=thk0IniMILmu_oc4,"Словник продюсера
https://drive.google.com/file/d/1oW5VU_91MTlsBy-KW0JqgHw5SxyUFscc/view?usp=sharing",
Урок 3. Хто такий продюсер і що він робить,https://youtu.be/cIAk9Urm-6c?si=rAmYKl5na3lha6ST,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/SI9oof7eCTYxDgH6ZBzlVh9l2ErQ1L44r0UOY7US.pdf","📝 Завдання 1:

Будь-який запуск починається з рішення його провести. 

Як думаєте, які принципи мають бути у людини, щоби провести хороший запуск? Що може допомогти?

Напишіть 5 принципів: (Наприклад, обов'язково доводити розпочате до результату)
 
1
2
3
4
5"
Урок 4. Системи та види запусків,https://youtu.be/1RLsDdAHDns?si=OemooacRY1rkVf7v,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/hcQkIanBojRgJvFIy8bC1OEOzIYbwapIhnuwAcRw.pdf

Чек-лист ""Етапи запуску""
https://drive.google.com/file/d/1NbH5LhJSlnDVHx6u2EfFBOXRz431DabY/view?usp=sharing","Завдання
Система запусків з'явилася багато років тому.
За нею працюють бренди, артисти й кінокомпанії, тому що ця модель дає стабільні результати.

Наприклад, співачка Леді Гага на початку свого шляху заручилася підтримкою малих спільнот (лояльністю).
Вона виступала в маленьких клубах, в неї закохувалися як у співачку. Сама відповідала у соцмережах, створювала свою спільноту і навіть вигадала назву для учасників «Маленькі монстрики» (Little Monsters). Це й було її прогрівом до великих результатів.
 
Слово «прогрів» - не означає нещирість, це послідовна робота з контентом.
Приклади брендів, які використовують систему запусків: Chanel, Louis Vuitton, Apple, Gucci, Dior, Zara.
 
Завдання: Згадайте свої улюблені бренди, фільми, артистів та поміркуйте, як вони використовували систему запусків, що для цього робили?
Наприклад, ви щось сильно хотіли купити чи подивитися – чому саме це?"
Урок 5. Схема запуску. Від ідеї до першого мільйона,https://youtu.be/q3WJeL88OVs?si=UzZ3MhP1-P79GUB6,,
Урок 6. Вибір прибуткової ніші для запуску,https://youtu.be/e4CzvKRC-1s?si=Z1ZoHjD47Gm4YvDh,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/Nb7Z6S4WBsPey0KKcqWNmG0KJoll97iTJykbnyN8.pdf

Чек-лист ""Працюючі ніші""
https://drive.google.com/file/d/1zl-6FGYbPzHBcT7wVmc0VXDPFI_gDuBQ/view?usp=sharing",
Урок 7. Типи інфопродуктів,https://youtu.be/p8JZhqV6s6I?si=aycSxN5PumzL1Ph_,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/2VWullZTh6c2Jll83oGlqQZN6ZGbgcmRV5VHrJvM.pdf

Пам'ятка ""Типи інфо-пордуктів""
https://drive.google.com/file/d/1YjuOLBwPH4OAelJ0gfuCUMQ8PsJN492_/view?usp=sharing",
Урок 8. Декомпозиція запуску. Як досягти мети,https://youtu.be/CvKPLXcbjhw?si=rUeMMcomGXtx2pN8,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/uHD980SCY3aKJk0qppssBjINaROR5pOrnIPf5XX3.pdf

Калькулятор прорахунку запусків
https://docs.google.com/spreadsheets/d/12ZebGMtJv9z15Kt3RjtA3LqtRc986b4C/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true",
"Урок 9. Види воронок продажів на запусках: через сторіс, через безкоштовник, через анкету",https://youtu.be/BLSMohiQeHU?si=HbWzaavXGUSj8QK6,"Презентація до уроку
https://api.creo.ua/system-files/lessons/documents/DgFBl7t7KBdAnqH8Oiw0jNr2E0ZgFYfpzOAKTNxF.pdf

Чек-лист ""Ідеальний запуск""
https://drive.google.com/file/d/1puf4Mp4TevqdCjuWT-hYuWr4_OPk8FLH/view?usp=sharing",
